City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
186,hithadhoo,-0.6,73.0833,27.46,69,81,5.01,MV,1675727203
187,hobart,-42.8794,147.3294,21.14,48,40,4.12,AU,1675727082
188,hokitika,-42.7167,170.9667,17.77,70,99,2.72,NZ,1675727258
189,honiara,-9.4333,159.95,28.17,77,99,3.76,SB,1675727120
190,honningsvag,70.9821,25.9704,4.86,81,100,8.75,NO,1675727263
191,huarmey,-10.0681,-78.1522,23.06,81,53,3.32,PE,1675727314
192,huilong,31.8111,121.655,8.29,84,100,3.58,CN,1675727151
193,husavik,66.0449,-17.3389,-2.05,66,57,7.36,IS,1675727193
194,illela,13.7292,5.2975,25.18,14,100,6.04,NG,1675727192
195,ilulissat,69.2167,-51.1,-18.99,78,100,3.6,GL,1675727226
196,iracoubo,5.4802,-53.2011,24.34,89,76,5.72,GF,1675727216
197,isangel,-19.55,169.2667,31.06,84,75,1.03,VU,1675727113
198,islamkot,24.6997,70.177,19.19,20,0,3.72,PK,1675727139
199,ixtapa,20.7,-105.2,24.57,78,0,4.12,MX,1675727081
200,jacareacanga,-6.2222,-57.7528,23.41,98,94,0.45,BR,1675727279
201,jalu,29.0331,21.5482,10.01,54,76,3.82,LY,1675727158
202,jamestown,42.097,-79.2353,-0.55,95,100,2.06,US,1675727045
203,japura,-0.3167,102.35,23.39,95,99,0.82,ID,1675727073
204,jatiroto,-7.8833,111.1167,23.12,93,100,0.72,ID,1675727277
205,jiazi,22.8779,116.067,19.01,87,12,2.02,CN,1675727281
206,jumla,29.2747,82.1838,0.77,79,11,1.7,NP,1675727213
207,kaeo,-35.1,173.7833,25.74,73,12,1.98,NZ,1675727204
208,kahului,20.8947,-156.47,28.32,66,40,11.32,US,1675727262
209,kaitangata,-46.2817,169.8464,18.84,55,39,2.74,NZ,1675727090
210,kalmunai,7.4167,81.8167,24.46,86,61,2.74,LK,1675727154
211,kampot,10.6167,104.1833,24.03,83,68,0.61,KH,1675727255
212,kang,-23.6752,22.7876,21.74,68,57,3.21,BW,1675727090
213,kapaa,22.0752,-159.319,27.18,80,40,5.14,US,1675727053
214,kapuskasing,49.4169,-82.4331,-5.0,63,75,5.66,CA,1675727259
215,karpogory,64.0019,44.4451,-17.89,99,86,2.1,RU,1675727294
216,karratha,-20.7377,116.8463,30.91,57,2,0.83,AU,1675727222
217,kasongo-lunda,-6.4667,16.8167,20.31,92,87,0.83,CD,1675727059
218,katsuura,35.1333,140.3,11.09,62,100,3.59,JP,1675727230
219,kavaratti,10.5669,72.642,26.82,75,92,5.66,IN,1675727144
220,kavieng,-2.5744,150.7967,27.84,79,97,3.7,PG,1675727159
221,keetmanshoop,-26.5833,18.1333,23.0,42,95,3.17,NA,1675727141
222,kerema,-7.9631,145.7785,24.84,93,100,4.69,PG,1675727316
223,khatanga,71.9667,102.5,-40.95,100,57,1.17,RU,1675727059
224,khonsa,27.0167,95.5667,11.21,72,72,1.06,IN,1675727161
225,kieta,-6.2167,155.6333,27.66,80,100,2.86,PG,1675727116
226,kiunga,-6.1219,141.2906,25.4,88,99,1.69,PG,1675727048
